id;label;LLM predict
img0001.jpg;meningioma;glioma
img0002.jpg;glioma;glioma
img0003.jpg;pituitary;notumor
img0004.jpg;glioma;pituitary
img0005.jpg;pituitary;notumor
img0006.jpg;pituitary;pituitary
img0007.jpg;notumor;notumor
img0008.jpg;meningioma;meningioma
img0009.jpg;pituitary;notumor
img0010.jpg;glioma;meningioma
img0011.jpg;meningioma;meningioma
img0012.jpg;notumor;notumor
img0013.jpg;notumor;notumor
img0014.jpg;pituitary;notumor
img0015.jpg;glioma;meningioma
img0016.jpg;notumor;glioma
img0017.jpg;notumor;notumor
img0018.jpg;meningioma;meningioma
img0019.jpg;meningioma;meningioma
img0020.jpg;notumor;notumor
img0021.jpg;glioma;glioma
img0022.jpg;notumor;notumor
img0023.jpg;notumor;notumor
img0024.jpg;meningioma;meningioma
img0025.jpg;meningioma;meningioma
img0026.jpg;glioma;glioma
img0027.jpg;notumor;x
img0028.jpg;pituitary;pituitary
img0029.jpg;pituitary;notumor
img0030.jpg;meningioma;meningioma
img0031.jpg;pituitary;notumor
img0032.jpg;pituitary;notumor
img0033.jpg;pituitary;pituitary
img0034.jpg;glioma;glioma
img0035.jpg;glioma;notumor
img0036.jpg;glioma;notumor
img0037.jpg;pituitary;pituitary
img0038.jpg;pituitary;notumor
img0039.jpg;notumor;notumor
img0040.jpg;notumor;glioma
img0041.jpg;pituitary;pituitary
img0042.jpg;meningioma;meningioma
img0043.jpg;meningioma;meningioma
img0044.jpg;meningioma;glioma
img0045.jpg;glioma;notumor
img0046.jpg;meningioma;meningioma
img0047.jpg;glioma;meningioma
img0048.jpg;meningioma;glioma
img0049.jpg;pituitary;meningioma
img0050.jpg;pituitary;pituitary
img0051.jpg;pituitary;pituitary
img0052.jpg;pituitary;pituitary
img0053.jpg;meningioma;pituitary
img0054.jpg;notumor;meningioma
img0055.jpg;glioma;notumor
img0056.jpg;glioma;glioma
img0057.jpg;glioma;notumor
img0058.jpg;pituitary;notumor
img0059.jpg;notumor;glioma
img0060.jpg;pituitary;notumor
img0061.jpg;glioma;glioma
img0062.jpg;notumor;notumor
img0063.jpg;pituitary;pituitary
img0064.jpg;notumor;notumor
img0065.jpg;glioma;glioma
img0066.jpg;meningioma;pituitary
img0067.jpg;meningioma;glioma
img0068.jpg;glioma;glioma
img0069.jpg;meningioma;meningioma
img0070.jpg;notumor;notumor
img0071.jpg;notumor;notumor
img0072.jpg;pituitary;pituitary
img0073.jpg;pituitary;notumor
img0074.jpg;pituitary;glioma
img0075.jpg;meningioma;glioma
img0076.jpg;notumor;notumor
img0077.jpg;notumor;glioma
img0078.jpg;notumor;notumor
img0079.jpg;notumor;notumor
img0080.jpg;notumor;glioma
img0081.jpg;glioma;glioma
img0082.jpg;notumor;glioma
img0083.jpg;meningioma;meningioma
img0084.jpg;pituitary;meningioma
img0085.jpg;meningioma;pituitary
img0086.jpg;pituitary;pituitary
img0087.jpg;notumor;notumor
img0088.jpg;meningioma;meningioma
img0089.jpg;glioma;glioma
img0090.jpg;notumor;notumor
img0091.jpg;notumor;notumor
img0092.jpg;notumor;notumor
img0093.jpg;glioma;pituitary
img0094.jpg;meningioma;pituitary
img0095.jpg;pituitary;notumor
img0096.jpg;glioma;glioma
img0097.jpg;notumor;notumor
img0098.jpg;glioma;glioma
img0099.jpg;glioma;meningioma
img0100.jpg;pituitary;notumor
